Question	Answer
Do you like fiction books?	Harry Potter is the best.
Are willing to work  night shifts?	I'd prefer to work in the daytime.
Do you like living in a flat?	It's taking a lot of getting used to.
Have you told anyone else what you're thinking?	I've kept this secret to myself.
Did you figure out the commute times to work from different boroughs?	I did they aren't to bad
Was your trip good?	It was so exhausting.
Are you ready to enjoy the weekend?	I can't wait to party.
I know you're not used to this heat, would you want to go take a dip at Barton Springs to cool off?	That would be a welcome relief.
Did you move from the East Coast?	I've never been to the East Coast.
Did you grow up to be what you wanted to as a kid?	Nothing like what I wanted
Are you in the mood for Chinese tonight?	Our in laws are coming by.
Do you enjoy a book series?	My favorite series is Harry Potter.
Are you offering the asking price?	Just below
Are you wanting creative fulfillment in your work?	that would be nice
Are you a sushi fan?	I could eat it every day.
Do you drink alcoholic beverages?	I love having a glass of wine.
Do you get bored at your current job?	I'm always really busy
Does it have windows?	It has a few in each room.
Are you visiting your parents this weekend?	My mum and dad are expecting me on Saturday.
Do you like to work out?	I work out every day.
Do you like to hear orchestras play?	I always love it.
Do y	"ones for your work?"",""answer"":""I do data entry."
Do you like biryani?	I love all Indian food.
Did you grow up in this neighborhood?	I've never been here before.
Before we go any further I have to know, do you like lasagna?	Italian food is the best.
Are you happy with your life now?	I've been suicidal.
Is a full-time role what you think you'd like?	I would rather be part time.
Are your family happy and in good health ?	My mom is really sick and it is stressful.
Are you not happy with you work conditions?	They're abysmal.
Are you new to the area?	It's been a while since I first came here.
Are you here visiting from out of town?	I'm on a weekend trip to see old friend.
Do you like to be outdoors?	I try to get outdoors most days.
Do you listen to the radio much?	I don't own a radio.
Do you like to have a lot of furniture?	I prefer open space.
Do you like vegan food?	I prefer foods with meat and dairy.
Do you like rock?	I prefer country music.
Do you recognize me?	of course I do
Do you like acoustic music?	I really enjoy Spanish guitar.
Are you a fan of animation movies?	I love watching manga films.
Do you know what neighborhood you will buy it in?	Hopefully in New York.
Have you thoroughly thought this through?	I've been planning this meticulously.
You like swimming?	I prefer to climb.
Do you enjoy going to the movies?	I go once a week.
You still living around here?	We live near the old school.
Are you happy?	right now I am
You don't happen to still drink beer do you?	I'm a cider girl now.
Are you heading out?	Heading to Starbucks.
How was your trip here?	I should have planned better.
Could you go for a salad?	Salad is good
Hey since the weather has gotten colder did you want to grab some potato soup?	Something warm would be nice.
Can you do latin dances?	I'm really good at the tango.
Have you been active in the community before?	I was in my old neighborhood
Are long books your thing?	I like short and sweet.
Do you reread favorite books?	I try to reread books I loved when I have time.
Did you buy any sci-fi books recently?	Not recently but I already have some
Do you like action movies?	I prefer comedies.
Do you listen to music every day?	Only if I go for a jog.
Are you a fan of spicy food?	I love spicy food
Do you like like talking about books with others?	I am too shy.
Are you a fan of science fiction?	Only sci-fi written by certain authors.
Did you enjoy the trip over here?	The hot bus ride was kind of a bummer.
Would you want to go to a steakhouse?	I can't eat meat, I'm vegetarian.
Have you been to the new bar downtown?	I never go to bars.
Have you gone to college?	I've just graduated.
Are you from this state?	We've only been here the last 5 years.
Will you be on the top floor?	I'm looking for a garden flat.
Are you interested in history or historical novels?	Only when the stories they're based on are interesting.
Shall we have dinner?	Lets I am starving
Are you interested in keeping fit?	I do clogging.
Have you read any biographies lately?	I hate biographies.
Will you be having a lie in in the morning?	I will be lying down until noon.
Do you like basketball?	I'm not into sport much.
Do you like family style restaurants?	They're usually kind of lame.
Are you vegetarian?	I haven't eaten meat in years.
Did you encounter a lot of traffic coming here?	It was packed!
Is the Harry Potter series of any interest to you?	I've read the entire thing.
Would you like to join me for a beer?	I was planning on it.
Do you mind crowded places?	I don't mind them at all
Can I invite you over tomorrow?	I'd love to come over tomorrow.
Do you want to rest from your trip?	I need a nap.
Do you get a little too excited about elves and wizards?	They seem pretty cool.
Do you like to have a flexible schedule or are regular hours better for you?	I want to be able to do what I want, when I want.
Have you ever tried a job outdoors?	I worked outside as a lifeguard one summer.
Do you have an food allergies?	I can't have honey.
Did you move from near-by?	just from the other town
Have you ever worked in a kitchen?	I'm a terrible cook.
Want to come over and watch the game this weekend?	I don't like sports
Do you want to learn to dance samba?	I'm too busy for classes
Do you enjoy nonfiction content?	Biographies are always enjoyable.
How about trying that new Thai place down the road?	Let's go there tomorrow.
Do you know how to read a music sheet?	I don't.
Does your job have decent hours?	I work very long hours and weekends.
Do you work full time	I'm down to part-time now.
Are you planning to move there permanently?	I plan to live in the city as long as my job needs me there, but with the hopes I'll be transferred to London.
Do you enjoy the theater?	If the show is a musical.
You like swimming?	Only if I can stay on the shallow end of the pool.
Do you like reading fiction or non-fiction?	All books are good.
Have you been downtown yet?	I'm planning to go next week
Are you looking for something in education?	I'd rather work in technology.
Do you want to shop at the mall?	I prefer the local thrift stores.
Is it the end of the day already?	We got so wrapped up into this project.
Do you eat raw fish?	I wouldn't eat raw fish
